Time,Tag,Code,Log
1679554214,GNSS,0,
1679554219,GNSS,0,
1679554224,GNSS,0,"$GNRMC,064943.000,A,2649.287602,N,07551.396749,E,0.00,289.11,230323,,,D,V*03"
1679554229,GNSS,0,
1679554234,GNSS,0,
1679554239,GNSS,0,
1679554244,GNSS,0,
1679554249,GNSS,0,
1679554254,GNSS,0,
1679554259,GNSS,0,"$GNRMC,065015.000,A,2649.286448,N,07551.397418,E,0.00,151.62,230323,,,D,V*01"
1679554264,GNSS,0,
1679554269,GNSS,0,
1679554274,GNSS,0,"$GNRMC,065031.000,A,2649.286448,N,07551.397418,E,0.00,151.62,230323,,,D,V*07"
1679554279,GNSS,0,
1679554284,GNSS,0,
1679554289,GNSS,0,
1679554294,GNSS,0,"$GNRMC,065047.000,A,2649.286448,N,07551.397418,E,0.00,186.82,230323,,,D,V*02"
1679554299,GNSS,0,
1679554304,GNSS,0,
1679554309,GNSS,0,"$GNRMC,065103.000,A,2649.287454,N,07551.397455,E,0.00,276.63,230323,,,D,V*05"
1679554314,GNSS,0,
1679554319,GNSS,0,
1679554324,GNSS,0,"$GNRMC,065119.000,A,2649.286911,N,07551.398339,E,0.00,120.97,230323,,,D,V*0A"
1679554329,GNSS,0,
1679554334,GNSS,0,
1679554339,GNSS,0,"$GNRMC,065135.000,A,2649.286862,N,07551.398388,E,0.00,120.97,230323,,,D,V*0B"
1679554344,GNSS,0,
1679554349,GNSS,0,
1679554354,GNSS,0,"$GNRMC,065151.000"
1679554359,GNSS,0,
1679554364,GNSS,0,
1679554369,GNSS,0,
1679554374,GNSS,0,"$GNRMC,065207.000,A,2649.286862,N,07551.398388,E,0.00,145.54,230323,,,D,V*05"
1679554379,GNSS,0,
1679554384,GNSS,0,
1679554389,GNSS,0,"$GNRMC,065223.000,A,2649.286538,N,07551.400084,E,0.00,136.94,230323,,,D,V*00"
1679554394,GNSS,0,"$GNRMC,065238.000,A,2649.286538,N,07551.400084,E,0.00,351.73,230323,,,D,V*00"
1679554399,GNSS,0,
1679554404,GNSS,0,"$GNRMC,065239.000,A,2649.286538,N,07551.400084,E,"
1679554409,GNSS,0,
1679554414,GNSS,0,"$GNRMC,065254.000,A,2649.286538,N,07551.400084,E,0.00,198.21,230323,,,D,V*0A"
1679554419,GNSS,0,
1679554424,GNSS,0,"$GNRMC,065255.000,A,2649.286538,N,07551.400084,E,0.00,313.27,230"
1679554429,GNSS,0,"$GNRMC,065310.000,A,2649.287893,N,07551.399328,E,0.00,307.69,230323,,,D,V*0C"
1679554434,GNSS,0,
1679554439,GNSS,0,
1679554444,GNSS,0,"$GNRMC,065326.0"
1679554449,GNSS,0,
1679554454,GNSS,0,
1679554459,GNSS,0,
1679554464,GNSS,0,"$GNRMC,065342.000,A,2649.288541,N,07551.399105,E,0.00,324.22,230323,,,D,V*05"
1679554469,GNSS,0,
1679554474,GNSS,0,
1679554479,GNSS,0,"$GNRMC,065358.000,A,2649.289699,N,07551.398"
1679554484,GNSS,0,
1679554489,GNSS,0,
1679554494,GNSS,0,"$GNRMC,06"
1679554499,GNSS,0,
1679554504,GNSS,0,
1679554509,GNSS,0,
1679554514,GNSS,0,"$GNRMC,065430.000,A,2649.288786,N,07551.398819,E,0.00,282.06,230323,,,D,V*00"
1679554519,GNSS,0,
1679554524,GNSS,0,
1679554529,GNSS,0,"$GNRMC,065446.000,A,2649.289037,N,07551.398040,E,0.00,288.17,230323,,,D,V*03"
1679554534,GNSS,0,
1679554539,GNSS,0,
1679554544,GNSS,0,"$GNRMC,065502.000,A,2649.288960,N,07551.397606,E,0.00,161.57,230323,,,D,V*03"
1679554549,GNSS,0,
1679554554,GNSS,0,
1679554559,GNSS,0,"$GNRMC,065518.000,A,2649.289492,N,07551.397500,E,0.00,332.32,230323,,,D,V*0B"
1679554564,GNSS,0,
1679554569,GNSS,0,
1679554574,GNSS,0,
1679554579,GNSS,0,"$GNRMC,065534.000,A,2649.290291,N,07551.397109,E,0.00,321.97,230323,,,D,V*08"
1679554584,GNSS,0,
1679554589,GNSS,0,"$GNRMC,065549.000,A,2649.289861,N,07551.398053,E,0.00,223.28,230323,,,D,V*09"
1679554594,GNSS,0,
1679554599,GNSS,0,"$GNRMC,065550.000,A,2649.289861,N,07551.398053,E,0.00,223.28,2"
1679554604,GNSS,0,"$GNRMC,065605.000,A,2649.289109,N,07551.398657,E,0.00,105.04,230323,,,D,V*0E"
1679554609,GNSS,0,
1679554614,GNSS,0,
1679554619,GNSS,0,"$GNRMC,0656"
1679554624,GNSS,0,
1679554629,GNSS,0,
1679554634,GNSS,0,
1679554639,GNSS,0,"$GNRMC,065637.000,A,2649.289358,N,07551.400383,E,0.00,306.41,230323,,,D,V*03"
1679554644,GNSS,0,
