Time,Tag,Code,Log
1680747192,GNSS,0,
1680747194,GNSS,0,"$GNRMC,021256.000,A,2649.284805,N,07551.406377,E,0.00,157.42,060423,,,D,V*06"
1680747196,GNSS,0,
1680747198,GNSS,0,
1680747200,GNSS,0,"$GNRMC,021313.000,A,2649.284964,N,07551.405985,E,0.00,157.42,060423,,,"
1680747202,GNSS,0,
1680747204,GNSS,0,
1680747206,GNSS,0,"$GNRMC,021314.000,A,2649.285019,N,07551.405741,E,0.00,157.42,060423,,,D,V*07"
1680747208,GNSS,0,
1680747210,GNSS,0,"$GNRMC,021315.000,A,2649.285079,N,"
1680747212,GNSS,0,
1680747214,GNSS,0,
1680747216,GNSS,0,"$GNRMC,021316.000,A,2649.284953,N,07551.405374,E,0.00,157.42,060423,,,D,V*01"
1680747218,GNSS,0,"$GNRMC,021332.000,A,2649.285908,N,07551.405122,E,0.00,157.42,060423,,,D,V*09"
1680747220,GNSS,0,
1680747222,GNSS,0,"$GNRMC,021333.000,A,2649.285957,N,07551.4050"
1680747224,GNSS,0,
1680747226,GNSS,0,
1680747228,GNSS,0,"$GNRMC,021334.000,A,2649.285957,N,07551.405076,E,0.00,157.42,060423,,,D,V*05"
1680747230,GNSS,0,
1680747232,GNSS,0,
1680747234,GNSS,0,
1680747236,GNSS,0,
1680747238,GNSS,0,"$GNRMC,021351.000,A,2649.283557,N,07551.408246,E,0.00,157.42,060423,,,D,V*00"
1680747240,GNSS,0,
1680747242,GNSS,0,"$GNRMC,021352.000,A,2649.283512,N,07551.408086,E,0.00,157.42,060423,,,D,V*0C"
1680747244,GNSS,0,
1680747246,GNSS,0,
1680747248,GNSS,0,"$GNRMC,021353.000,A,2649.283512,N,07551.408086,E,0.00,157.42,060423,,,D,V*0D"
1680747250,GNSS,0,
1680747252,GNSS,0,"$GNRMC,021354.000,A,2649.283512,N,07551.408086,E,0.00,157.42"
1680747254,GNSS,0,
1680747256,GNSS,0,
1680747258,GNSS,0,
1680747260,GNSS,0,"$GNRMC,021411.000,A,2649.281614,N,07551.407775,E,0.00,157.42,060423,,,D,V*0F"
1680747262,GNSS,0,
1680747264,GNSS,0,
1680747266,GNSS,0,"$GNRMC,021412.000,A,2649.281410,N,07551.407781,E,0.00,157.42,060423,,,D,V*01"
1680747268,GNSS,0,
1680747270,GNSS,0,"$GNRMC,021413.000,A,2649.281379,N,07551.407395,E,0.00,157.42,060423,,,D,V*09"
1680747272,GNSS,0,
1680747274,GNSS,0,
1680747276,GNSS,0,
1680747278,GNSS,0,"$GNRMC,021430.000,A,2649.281460,N,07551.406906,E,0.00,157.42,060423,,,D,V*06"
1680747280,GNSS,0,
1680747282,GNSS,0,"$GNRMC,02"
1680747284,GNSS,0,
1680747286,GNSS,0,
1680747288,GNSS,0,"$GNRMC,021432.000,A,2649.281460,N,07551.406906,E,0.00,157.42,060423,,,D,V*04"
1680747290,GNSS,0,
1680747292,GNSS,0,
1680747294,GNSS,0,
1680747296,GNSS,0,"$GNRMC,021449.000,A,2649.281420,N,07551.404993,E,0.00,157.42,060423,,,D,V*02"
1680747298,GNSS,0,
1680747300,GNSS,0,"$GNRMC,021450."
1680747302,GNSS,0,
1680747304,GNSS,0,
1680747306,GNSS,0,"$GNRMC,021451.000,A,2649.281420,N,07551.404993,E,0.00,157.42,060423,,,D,V*0B"
1680747308,GNSS,0,
1680747310,GNSS,0,
1680747312,GNSS,0,"$GNRMC,021452.000,A,2649.281420,N,07551.404993,E,0.00,157.42,060423,,,D,V*08"
1680747314,GNSS,0,"$GNRMC,021508.000,A,2649.280614,N,07551.406118,E,0.00,157.42,060423,,,D,V*0B"
1680747316,GNSS,0,
1680747318,GNSS,0,"$GNRMC,021509.000,A,2649.280573,N,075"
1680747320,GNSS,0,
1680747322,GNSS,0,
1680747324,GNSS,0,"$GNRMC,021510.000,A,2649.280900,N,07551.405981,E,0.00,157.42,060423,,,D,V*03"
1680747326,GNSS,0,
1680747328,GNSS,0,
1680747330,GNSS,0,"$GNRMC,021511.000,A,2649.281191,N,07551.405942,E,0.00,157.42,060423,,,D,V*0C"
1680747332,GNSS,0,
1680747334,GNSS,0,"$GNRMC,021527.000,A,2649.282152,N,07551.405594,E,0.00,157.42,060423,,,D,V*02"
1680747336,GNSS,0,
1680747338,GNSS,0,"$GNRMC,021528.000,A,2649.282152,N,07551.405594,E,0.00,157.42,060423,,,D,V*0D"
1680747340,GNSS,0,
1680747342,GNSS,0,
1680747344,GNSS,0,"$GNRMC,021529.000,A,2649.281414,N,07551.407394,E,0.00,157.42,060423,,,D,V*0C"
1680747346,GNSS,0,
1680747348,GNSS,0,"$GNRMC,021530.000,A,2649.281107,N,07551.407794,E,0.00,157.42"
1680747350,GNSS,0,
1680747352,GNSS,0,
1680747354,GNSS,0,
1680747356,GNSS,0,"$GNRMC,021547.000,A,2649.281032,N,07551.408941,E,0.00,157.42,060423,,,D,V*09"
1680747358,GNSS,0,
1680747360,GNSS,0,
1680747362,GNSS,0,"$GNRMC,021548.000,A,2649.281032,N,07551.408941,E,0.00,157.42,060423,,,D,V*06"
1680747364,GNSS,0,
1680747366,GNSS,0,"$GNRMC,021549.000,A,2649.281032,N,07551.408941,E,0.00,157.42,060423,,,D,V*07"
1680747368,GNSS,0,
1680747370,GNSS,0,
1680747372,GNSS,0,
1680747374,GNSS,0,"$GNRMC,021606.000,A,2649.278559,N,07551.410851,E,0.00,157.42,060423,,,D,V*08"
1680747376,GNSS,0,
1680747378,GNSS,0,"$GNRMC,021607.000,A,2649.278863,N,07551.410723,E,0.00,157.42,060423,,,D,V"
1680747380,GNSS,0,
1680747382,GNSS,0,
1680747384,GNSS,0,"$GNRMC,021608.000,A,2649.279202,N,07551.410573,E,0.00,157.42,060423,,,D,V*03"
1680747386,GNSS,0,
1680747388,GNSS,0,"$GNRMC,021609.000,A,2649.2792"
1680747390,GNSS,0,
1680747392,GNSS,0,"$GNRMC,021625.000,A,2649.276318,N,07551.410898,E,0.00,157.42,060423,,,D,V*01"
1680747394,GNSS,0,
1680747396,GNSS,0,"$GNRMC,021626.000,A,2649.276462,N,07551.410688,E,0.00,157.42,060423,,,D,V*07"
1680747398,GNSS,0,
1680747400,GNSS,0,
1680747402,GNSS,0,"$GNRMC,021627.000,A,2649.276643,N,07551.410505,E,0.00,157.42,060423,,,D,V*01"
1680747404,GNSS,0,
1680747406,GNSS,0,"$GNRMC,021628.000,A,2649.276244,N,07551.410980,E,0.00,119.07"
1680747408,GNSS,0,
1680747410,GNSS,0,
1680747412,GNSS,0,
1680747414,GNSS,0,"$GNRMC,021645.000,A,2649.277952,N,07551.412455,E,0.00,119.07,060423,,,D,V*06"
1680747416,GNSS,0,
1680747418,GNSS,0,"$GNRMC,021646.000,A,2649.277374,N,07551.41"
1680747420,GNSS,0,
1680747422,GNSS,0,
1680747424,GNSS,0,"$GNRMC,021647.000,A,2649.277264,N,07551.412530,E,0.00,119.07,060423,,,D,V*08"
1680747427,GNSS,0,
1680747429,GNSS,0,
1680747431,GNSS,0,"$GNRMC,021704.000,A,2649.279594,N,07551.407100,E,0.00,119.07,060423,,,D,V*0B"
1680747433,GNSS,0,
1680747435,GNSS,0,
1680747437,GNSS,0,"$GNRMC,021705.000,A,2649.279572,N,07551.407251,E,0.00,119.07,060423,,,D,V*05"
1680747439,GNSS,0,
1680747441,GNSS,0,"$GNRMC,021706.000,A,2649.279458,N,07551.407470,E,0.00,119.07,060423,,,D,V*0A"
1680747443,GNSS,0,
1680747445,GNSS,0,
1680747447,GNSS,0,"$GNRMC,021707.000,A,2649.279006,N,07551.407458,E,0.00,119.07,060423,,,D,V*0E"
1680747449,GNSS,0,
1680747451,GNSS,0,
1680747453,GNSS,0,"$GNRMC,021724.000,A,2649.278586,N,07551.405104,E,0.00,119.07,060423,,,D,V*0D"
1680747455,GNSS,0,
1680747457,GNSS,0,
1680747459,GNSS,0,"$GNRMC,021725.000,A,2649.278586,N,07551.405104,E,0.00,119.07,060423,,,D,V*0C"
1680747461,GNSS,0,
1680747463,GNSS,0,"$GNRMC,021726.000,A,2649.278086,N,07551.405632,E,0.00,119.07,060423,,,D,V*08"
1680747465,GNSS,0,
1680747467,GNSS,0,
1680747469,GNSS,0,"$GNRMC,021743.000,A,264"
1680747471,GNSS,0,
1680747473,GNSS,0,
1680747475,GNSS,0,"$GNRMC,021744.000,A,2649.273507,N,07551.406218,E,0.00,119.07,060423,,,D,V*04"
1680747477,GNSS,0,
1680747479,GNSS,0,
1680747481,GNSS,0,"$GNRMC,021745.000,A,2649.273461,N,07551.406424,E,0.00,119.07,060423,,,D,V*0D"
1680747483,GNSS,0,
1680747485,GNSS,0,"$GNRMC,021746.000,A,2649.273640,N,07551.406429,E,0.00,119.07,060423,,,D,V*02"
1680747487,GNSS,0,
1680747489,GNSS,0,"$GNRMC,021802.000,A,2649.277219,N,07551.407854,E,0.00,119.07,060423,,,D,V*06"
1680747491,GNSS,0,
1680747493,GNSS,0,"$GNRMC,021803.000,A,2649.277564,N,07551.407285,E,0.00,119.07,060423,,,D,V*0C"
1680747495,GNSS,0,
1680747497,GNSS,0,
1680747499,GNSS,0,"$GNRMC,021804.000,A,2649.277436,N,07551.407257,E,0.00,119.07,060423,,,D,V*02"
1680747501,GNSS,0,
1680747503,GNSS,0,"$GNRMC,021805.000,A,2649.277769,N,07551.407113,E,0.00,119.07,060423,,,D,V*09"
1680747505,GNSS,0,
1680747507,GNSS,0,
1680747509,GNSS,0,"$GNRMC,021822.000,A"
1680747511,GNSS,0,
1680747513,GNSS,0,
